Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
46.7291603,0,3.22896981,0.751042485,0,0.171781659,49.7999382,9.4659214,14.8111105,2.97322106,0,0,2.11252975,5.12170553,0,0,0,0,0,0,0,0,0,0,71.5630035,0.175606847,287.047821,534.133667,4.36859989
8.78606796,0,0,0.851849675,0,0,2.21985531,2.31458449,4.74356985,0.427167356,2.42920184,0,0,0.365088165,0,0,0,0,0,0,0,0,0,0,3.92864728,0,355.561646,600.17981,2.50458574
27.0069847,0,0,0.882956028,0,2.72729969,17.0206146,6.53404379,10.4293842,4.66057301,0,0,0,2.31664133,0,0.430272639,0,0,0,12.1753073,0,0,0,0,30.2839565,0,314.605377,575.691772,0.610652566
32.7827263,877.014648,0,0.450772256,0,0.087735817,28.9443455,4.67465973,12.1113253,2.07931423,0,0,3.57463622,0,0,0,0,0,0,0,0,0,0,0,13.0747824,0,302.601318,582.121277,0.549506068
8.49618435,0,0,0,0,0,6.36213875,12.9250803,7.32188177,3.09707355,5.90151691,0,0.620604575,0,0,0,9.6703167,0,0,2.2096312,2.01483893,0,0,0,50.622963,0,301.76181,563.047668,6.85818672
12.2719488,0,0.305149198,0,0,0,9.59321117,7.54140615,4.61673737,0.640825927,0,1.56403041,2.10255647,0,0,0,0,2.21985531,0,0,1.37723696,0,0,0,2.55268669,0.317607701,302.601318,541.593506,2.9529779
6.958323,2.60154319,0,0,0,0.523520291,7.77555943,17.7986107,5.61618233,3.4073987,0,0,0,10.6219139,0,0.013348055,0,0,0,0,0,0,0,0,31.6374187,1.1398288,368.664581,762.384583,1.53304803
5.2115221,5.75850582,0,0,0,0,0.076273754,0.343563318,7.80522585,1.12958026,0,0,1.28428209,0.187760621,0,0,0.195503801,0,0,0,0,0,0,0,0,0,433.330627,705.210632,3.22896981
14.9298458,0.677120805,2.50458574,0.114421405,0,0,13.0995731,5.63279486,16.4349079,0,3.27489328,0,0,14.4992914,2.96912932,0.340985537,0,0,0,0,0,0,0,0.351213694,24.290823,0,328.002258,630.962036,5.03635073
15.9588947,0.049593315,0.625943542,0,0,0.294506341,38.8971481,21.2121716,33.3255844,0.946217895,0,0,1.98639548,24.7567444,1.67262542,0,10.5941801,2.00003672,0,0,0,0,0,0.02288196,47.3780746,0.045766804,385.463043,711.123291,1.03965712
93.4582748,7.35934305,0,0,0,0,61.6471214,7.75937557,10.5114403,0,22.6816273,0,0,3.78822064,0,2.44617701,4.15497017,0,0,2.83369827,0,0,0,0.953111827,40.6056633,1.20567667,373.833099,792.705078,8.10264206
7.43488407,2.18882871,0,0,0,0,0.274624318,9.07143688,5.27671814,1.31306243,1.39571965,0,0,22.8226833,0,1.6023221,0,0,0,0,0,0,0,0,0,0,423.771729,672.631775,5.14419985
77.9982834,22.6380634,1.2704308,0,0,0,63.2474709,2.88465261,30.9530964,3.15905762,40.9681473,0,0.663413584,0,0,3.72454405,6.68143749,1.50208497,0,9.39793873,0,0.078242943,0,0,83.1487427,0,269.298492,566.182129,0
49.9287834,1.46820688,0,0,0,0,88.6100311,13.0809402,20.8183994,0,0,0,0,0.877575099,0,1.84104574,5.96433401,0,0,0,0,0,0,0.596708477,247.19632,0.44536978,309.402863,672.631775,0
61.2689056,0,6.34264374,0,0,0,75.574791,20.6912899,11.8589211,6.19741917,39.0282135,2.09408116,1.86751068,14.1943436,3.52471876,0,1.81061161,1.19341695,0.122096352,0,5.04605007,0,0,0,101.321846,0,320.786957,601.849365,0.656531215
13.5325441,0,0,0,0,2.51723099,20.181057,3.98543835,12.5667534,0.976770818,3.5783174,0,0,0,0,0.937276244,0,0,0,1.74278116,0.684009731,0,0,0,33.6004601,0,223.678558,458.637421,0.656531215
5.19858789,0.911069691,0,3.38883328,1.16263735,0,18.4021168,37.3971939,12.7674265,4.66057301,5.79010201,0.641236424,0,17.9538612,5.60142136,0,1.28428209,1.93746972,0,0,0,0,3.7155416,0,8.67334461,1.62975991,405.287384,713.105286,4.09464025
37.7018967,0.307119161,4.66419935,0,2.56821203,0,62.7627487,4.04029655,9.0395937,6.22990847,9.86964417,0,0,0,0,0,0.524614155,0,0,0.6050511,0,0,0,0,248.585892,0.922682941,344.842651,605.202637,3.92536473
59.1022034,0,1.81263018,0,0,0.030510055,51.0722656,0,15.7053423,5.74474096,7.57644129,0,1.39437056,0,0,0.083978489,3.19279861,0,1.89574003,0.585217535,0,0,0,0,107.730171,0.21388939,294.311737,595.19928,3.24530196
5.50505686,0,2.20410895,0,0,0,13.2261868,0,5.58817577,0,0,0,0,0.744751275,0,0,7.01159859,0,0,0,0,0,0,0,6.85307217,0,375.920959,687.769104,3.82448101
15.4559965,2.55874157,2.36190629,0.297681659,0,0,11.2655897,3.87701344,5.60215998,0.335619599,0.248398229,0,2.80686951,0,0,0,89.3866043,9.10970497,0,0.030512825,0,0,0.953191221,0.658342838,24.6226902,0,389.782104,625.7229,4.73446941
22.0934162,0,6.32317448,0,0,2.81639743,12.0357933,43.3862648,11.4605322,0,3.15854311,0,0,0.093542792,0,0,21.9742336,0,0,2.39463615,0.024790645,0,0,0.689208031,72.563385,0,487.201355,854.662231,5.16224289
76.9220276,0,0,3.07454515,0.824912548,0.32146129,32.5975571,42.4876556,17.2460594,4.85047817,10.873621,0,6.74953032,0.467598468,1.81263018,0.921505213,11.7348061,4.36859989,0.057210702,2.22536206,2.44039488,0,0,0,91.9098892,0,408.690125,622.254578,2.0783906
6.30397272,3.48109293,0.886212885,0,0,0,3.01764441,0,5.88992691,3.03512836,0,0,0,0.397505045,0,0,1.80200207,0,0,0,0.053410962,0,0,0,10.9895239,0,278.415741,482.072388,0
4.69701862,0,5.30730867,2.28837657,0,0,5.03635073,17.7549934,4.38465786,5.00917149,0.244561076,0,0,1.51918864,3.82448101,0,25.3693676,0.289886326,0,0,0,0.51395601,0,0,42.0842628,0.076287299,484.489197,873.942017,5.52738142
