Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
9.0395937,12.2719488,0,0,0,0,5.69446611,18.695713,4.75528574,2.20410895,0,0,4.85774469,0,0.62751025,0,1.85349286,4.98268652,0,0,0.46134147,0,0,0,0.960921824,0,383.321655,727.136414,2.01569438
7.32188177,5.88992691,0,0,0,0,5.34377813,26.2561836,10.7055759,4.76971054,0,0,2.17217994,0,0,0,8.57815933,7.30938196,0,0,0,2.58310986,0,0,0,0.015254688,376.969299,779.564209,11.3212299
16.6116581,5.05857515,0,0,0,0.774677396,62.4418068,18.3311424,12.599967,1.98438537,0.160206482,0,6.61940193,16.7012196,7.77780724,4.67392826,23.9688454,0,0,0,6.6308527,0,0,1.02667749,336.315887,4.44021225,749.327515,1211.62622,0.748342335
6.53091431,10.3480062,0,0,0,0.286813229,39.2837334,16.8651848,8.25886917,4.92919254,0,0,8.14938927,4.84599924,3.38883328,0.432333022,18.126049,2.98529077,0,0,0,0,0,0,4.33285427,5.5606122,404.159515,687.769104,3.6407938
0,6.31989813,0,0,0,4.3984108,26.4776077,72.9815674,8.36584949,0,0,0,0,16.0623417,0,1.3268218,0,1.20881224,0,0.18195942,0,0,0,1.49716175,14.0931339,0.661984384,380.13208,743.513916,3.29436564
0,4.34189796,0,0,0,0,4.38585567,0,4.63952255,5.58287859,1.55747712,0,0,0,0.312971771,0,2.3860209,0.244102597,0,0,0,0.238277957,0,0,0,0,444.344635,869.08136,1.45567536
28.0567265,3.41470838,0.625943542,3.16237187,0.167809799,0,64.2289734,30.9818439,6.11620522,5.16224289,27.9751663,0,14.5692501,6.27141619,7.24244642,7.54975796,3.19692039,0,0,0,0,0,2.10255647,0.505463123,26.1898289,0,362.557495,678.268433,9.81649303
11.0762539,18.1964626,4.71687508,0,0,0,4.85812855,4.4021821,4.67392826,0,0,0,3.49390292,1.00784719,0,0,12.4814053,0,0,0.299194604,0.70947659,0,0,0,8.1553669,0,388.697784,731.196289,0.809593737
9.57031155,0,0.167809799,0.351007491,2.03135848,0,26.350832,33.5496941,9.30092525,0,0,0,0,51.2047958,1.45229185,0,9.86964417,0,0,0,0,0,0,0.375182807,6.10636473,9.41722012,449.329987,878.830139,1.6881597
3.34163904,0,0.091528967,0,0,0,37.7618599,0.335913956,5.07113361,2.44109225,0,0,0.91019845,0.228916943,3.46958137,1.41864169,0,2.45695329,0,2.72149396,0,0,2.92973709,0,18.4215603,0,339.134216,645.151184,0.916878819
14.7325029,7.58847046,4.8404088,0,0,6.54047012,110.287849,30.0450268,9.97704887,3.19633913,30.9025936,0,0,11.6632423,1.73757982,0.068688259,6.11655521,1.22421122,0,0,0,0,0,0,12.2331104,0,414.425568,620.52771,4.87586689
1.62958348,0,9.89173603,0,0,2.3798964,52.7788658,57.8432007,14.1191626,0,0,0,0,41.392025,0,1.50814152,0,0,0,0,0,0.295238286,0,0,4.72317696,8.76931572,383.321655,751.841919,3.99290156
0.918890536,2.28400421,0,0,0,0.340744287,20.6648788,26.4563293,7.96702528,0,0,0,0,0.106791839,0,0,9.62866879,0,0,0,0.966565967,0,0,0,45.6020279,0,422.591919,808.319031,5.03635073
23.7050476,8.96968651,1.82821441,0,0,0,62.4418068,9.07143688,5.8311224,0.625943542,0,0,1.91171587,37.9841156,3.47973919,2.48116493,4.4612608,1.42475843,0,0,0,0,0,0,72.0084457,0,355.561646,682.052673,2.82412314
0.097370423,0,0,2.86079597,0,1.07064009,0,17.2404938,5.70111465,0,0,0,2.06449556,0,4.11784124,0,25.6023979,0,0,0,0,0.419993013,0,0.54392004,7.20800829,1.52287781,405.287384,766.643311,8.8043642
30.9530964,7.37815094,3.24530196,1.52288616,0,1.2546109,64.5597534,13.0809402,5.43681049,4.19691324,1.20469701,0,0,6.98780584,0,2.52861381,0,0.886212885,0.167838812,0,0,1.53775203,0,0,94.0521851,0,394.150055,725.11499,6.51903963
13.3545198,0.201317579,1.6881597,3.23127007,0,0.590476573,44.9294586,34.6933784,9.13370705,0,1.18886387,0,5.6004076,26.2561836,19.115242,2.82025051,20.2685471,0,0,0,0,0,0,0,216.975983,8.26948547,453.105988,903.687561,7.94903755
19.7254562,17.5726795,0,0.611702979,0,1.71959686,73.6398163,15.3749294,10.7055759,2.3302865,178.851334,0,0,4.42544842,0,0,0,0,0,0,0,0,0.185826316,0.535320044,0,0,444.344635,812.836914,7.16425276
7.35934305,0,0.106784441,2.52861381,0,0,16.7806969,17.0308876,8.49618435,4.14570856,3.02662373,0,0,0,0,3.3739059,2.5428021,1.02429926,0,1.27782953,1.3468132,0,0.279451132,0,40.5370941,0.897742867,412.121704,777.395569,7.66823006
0,2.48116493,0,1.80200207,2.03135848,0.897742867,14.1097918,25.7954807,11.9844227,0.213583678,0,1.37841606,0,2.37604046,1.63082254,0,0,0,0,1.20531452,0,0,0,0,45.1258049,0.171781659,414.425568,790.499512,13.0053148
17.2460594,0,0,0,0,2.17794275,84.5321884,7.0212779,11.0472641,1.65709651,7.66784,1.47114062,0,0,0,0,0,0,0,8.02862167,0.869934797,0,0,0.787966311,98.7584915,0,386.538269,703.250793,3.85805345
12.1432714,6.56404591,0,0,1.85940027,0,31.968708,24.0378551,8.17433643,0,36.6295929,0,2.63382363,0,0,0.307119161,0.81541127,0.473108947,0,0,0,0,3.50634193,0,41.7175369,0.823591411,343.884552,725.11499,4.57675314
17.5726795,1.97231901,3.34353209,1.62566435,0,0,56.8109322,16.5389709,24.9592381,3.50818682,1.84536588,0,4.9039464,21.0021381,0,9.4960289,7.70613813,5.99603319,0,0,0,0,0,0,369.692474,3.77967334,432.123962,760.26416,1.62605417
1.36364985,0,1.31668568,0,0,0,4.33413649,2.05582404,4.40620804,0.442560136,0,0,1.22784972,0,0,2.99327946,0,0,0.236554474,0,0,0,0.531031907,0,19.5449619,0,374.87558,620.52771,1.48661053
40.4941444,2.27322817,0.442560136,0,0,0,67.9694748,47.6859894,6.64766836,2.26713848,18.0627575,0,4.61142111,57.8432007,13.5280981,12.4348192,14.7186861,3.40925074,7.62729406e-3,0,4.85014343,0,0.730563521,0,69.9148254,4.06803846,441.872925,808.319031,8.1247263
3.89066076,0,0,1.22393799,0,2.70705676,51.9836998,1.1256851,6.94066143,2.25137019,8.31129742,0,3.85216522,3.27926445,0.496796459,1.18384016,4.09704018,0.061018754,0,0,0,0,0,0,47.3110542,0,341.026337,540.09314,6.09151125
0,0,0,0,0,0.406513542,0,8.92252159,5.27671814,0,0,0,0,0.589012682,0,0.988182902,14.8697681,2.06270647,0,0,0,0,0,0,0,0,419.072357,762.384583,7.24700022
11.6426191,6.94066143,4.80502319,0.613924861,1.34754252,1.2101022,63.085453,18.4215603,12.3693991,0.396746516,15.0796347,0,1.90638244,8.02125835,0,5.97933626,0,0,0,0,1.33346009,0.761438906,0.773450017,0,9.31049728,0,435.75412,893.660645,7.22626781
16.523037,3.16237187,1.54853678,0,0,0.985556901,2.71187687,22.6339054,5.61618233,2.44109225,47.1867638,0,1.0194118,0,0,1.3268218,0.217720971,3.35994411,0,0,0,1.82359719,0,1.82359719,14.3677263,0,410.97464,756.041199,2.72788429
3.98637819,0,0,0,0,0.045766804,4.23112583,16.4986763,6.19369888,2.37772775,1.14145708,0,8.59917545,0,0,0,11.4881992,0.152552843,0,0.908470452,0,0,0,0,5.80138302,0,383.321655,739.384949,1.51756418
3.02198553,1.09474862,0,0.089716278,0,0,34.4809875,0,8.87737083,0,1.95425797,0,0,0,0.167838812,0,0,0,0,1.7891587,0.563387871,0,0,0,70.2907181,0,319.896423,531.178955,0.350943267
13.4254332,0.552551985,0,0,3.26164508,0.263754517,35.4229851,27.066679,6.33586645,0.763651729,0,1.34754252,1.34508264,34.5147514,0,0.15110153,1.94388986,0,0.114421405,0,0.203256771,0,0,0,2.86592031,6.30962706,438.191315,806.06958,0.366209924
6.43259478,73.7825623,2.77596164,0,2.39355683,0.375521243,65.2267838,9.11443901,4.99628448,5.92008257,44.1890564,3.14747572,0,4.4722209,0,2.29483151,18.126049,0,0,0,0,0,0.737644196,1.22081995,27.2734795,0,296.77417,689.685303,3.40925074
26.3535805,6.49796247,2.48870015,0,1.22421122,0,61.6471214,11.3617897,13.7494736,0.12204022,157.15155,3.74078774,2.71379137,0.789764404,0,1.34012389,16.0160656,2.21985531,0,0,1.43618488,0,0,0,0,0,422.591919,826.544067,0
