Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
1.28751755,5.15999174,24.7602501,0.417941511,0,0,0,91.5382767,0,1.59503222,3.58212638,0,16.432972,0,1.04704058,0,47.4100952,1.08574963,0,0,0,0,0,0,0.953111827,0,635.304443,1171.65771,0
5.00867605,44.7128334,24.2915802,0,0,0,0,93.7976151,0.424100429,3.85805345,0.914107203,0,32.7820549,1.06274152,1.08631873,0,47.6678925,20.861742,0.851849675,0.405662745,0,0,0,0.780693948,0,0,628.237854,1194.80847,2.66390896
38.7517853,10.875,39.5763931,7.43488407,3.44218111,15.2938776,5.2164917,624.734314,0,9.74166107,0,0,28.6158066,1.98799801,0,0,3018.15747,27.8487434,0,1.42563808,1.80200207,0.751885056,0,0.6050511,0.045764484,0,368.664581,845.183838,3.69073176
21.1583843,2.62633252,46.1836052,0,3.37636805,0.309903473,5.16224289,307.68811,3.53178716,1.67262542,0,0,37.0836983,0,0,0,174.836914,0,0,0.154951736,0,0,0,0,0,0,348.702148,682.052673,5.69446611
43.9797668,14.5378895,67.6200027,2.67030382,2.34609246,0.286813229,8.30269051,311.993134,0,13.0680876,0,0,124.937607,7.12257338,0,0,190.06604,1.02429926,0,0,0,0.580834448,0,0,5.09844923,0,468.532745,739.384949,0.748342335
11.3110914,0.049593315,21.5150547,0.417941511,0.061018754,4.67731953,0,208.163696,0,2.66390896,0.190738842,0,45.6453667,0,0,0,141.545532,0.733035207,0,0,0.156877562,0,0.261760145,0,0,0,321.680023,629.210754,0.366209924
39.8315697,30.8686314,54.5469589,1.15362322,0.901544511,0,3.90851593,118.842598,0,4.47237873,0,0.030509213,69.8285065,0,0,0,145.934998,0.061018754,1.96268237,0,0,0,0.83719939,0,0.466107965,0,255.477371,534.133667,10.9362936
32.6037941,57.9678993,100.004822,0.259798825,1.47114062,0.068656079,1.37841606,104.557663,0.918890536,6.97982359,3.31891584,0,93.4583206,3.68602085,0,0,186.91655,1.00894451,1.72933209,0,1.27782953,0,0,0,0,0,428.524292,773.076538,1.39385915
6.11620522,1.16263235,30.3057652,0,0.061018754,0,7.68962955,100.65377,0,0,0,0,16.1814556,0,0,0,65.3862686,0,0,0.684009731,0,0,0,1.83666909,0,0,367.639557,721.089233,3.57438946
3.66201591,5.12170553,71.0189667,2.34419727,115.994331,7.06357431,0.641236424,11.8312035,0,2.82412314,0,0,1.78076506,0,2.50922179,3.06559134,19.6448231,1.75035059,0,0,13.4610376,3.76078844,0,0,5.20208025,0,614.341064,1039.02661,81.0741882
78.4330444,8.28014755,24.8789062,10.1078882,11.6883278,0,201.855133,180.833801,0,0.259363085,0,6.09151125,13.8109646,0,0.64292258,0,100.68824,0.320412964,0.045764484,0.578646123,0,27.154438,0,0,0,0,499.596771,968.978394,11.7744055
95.03302,39.5044479,288.657471,3.39832449,0,0.360053658,0,230.591568,0,0,0,0.671827912,105.822052,2.43793344,0,2.42887235,518.521545,3.19633913,0,1.12687802,0,0,0,0,0,0,267.808624,550.684875,0
29.3880634,136.194122,130.080963,0.116526991,2.64793754,0,2.80805993,241.036194,0,12.4219265,0,0,141.153168,0,0,0,168.626343,0,0.696929574,0,0,0.649798632,0,0,0,0,306.83432,572.504028,2.52047968
52.1849251,4.57152891,86.7725296,1.3268218,2.42523909,2.00366449,31.968708,308.544281,0,13.612566,1.48456466,0.916878819,27.7186031,0,0,0,260.483093,5.47207785,0.635215402,0,0.212962419,0.839696407,3.27023506,0.5224787,16.5389709,0,669.978638,1062.50281,3.57438946
32.6037941,10.9321032,44.0404549,3.88122582,2.31448817,2.04779816,0,176.891006,0,7.22626781,0,0.137296334,44.1868324,0,0,0.911069691,215.460342,2.71187687,0.45843941,0,0,0,0,0,0,0,479.110413,908.74353,7.81872511
32.87257,46.6004677,68.8516159,0.721163154,0.717730224,0.562842548,12.7876816,127.243652,4.18551207,12.4520588,0,0,51.5729027,0,0,0,156.430725,7.77555943,0,0.594010115,0,0,0,0,2.76369071,0,290.25354,593.54834,9.39775085
32.4258652,5.3561182,45.7232361,2.12254953,0,1.9818083,9.34931946,393.053467,0,4.54189444,3.11310482,0,37.4845314,0,0.875175297,0,406.352325,1.67262542,0,0.961203694,0,0,2.56481147,0,2.03033423,0,313.732178,556.831482,5.16224289
10.4566603,9.34929848,85.6446075,1.68937981,0,0,8.1247263,118.195618,0,6.09151125,0,0,47.9271393,0.244192705,0,0,177.780823,2.45695329,0,0,0,0.916279674,0,0,4.66258383,0,328.915649,613.66864,0
26.1394157,4.2162962,136.864166,0.160730645,0,0.282967985,0,190.560822,0,5.60142136,0,0,48.581646,1.09418476,0,0,204.91539,12.272193,0.844079852,0,1.80630207,0,1.26819575,0,2.29710388,0.072471581,446.830322,842.830872,3.18004036
0,5.32950926,24.4078598,0,1.08574963,0,2.18836951,58.4616394,0,10.0944233,0,0.244102597,8.57815933,0.929700136,0,0,51.1540642,8.71177101,0,0,0.131877258,0,1.35016751,0,12.4394531,0,696.740784,1178.22583,65.9011841
80.643898,3.69760704,152.376999,2.37770224,2.15691233,1.53727257,11.977294,376.969299,0,7.79712534,0,3.27799964,214.860397,0,0.758782089,0,926.877441,2.69587851,0.091533609,0,0,0,0.875024676,0,4.14015913,0,370.723267,725.11499,6.59812641
6.22499228,0.71414274,32.439106,0,0,3.06804824,0.320412964,243.047394,0.552551985,0.778963387,1.07845616,0,52.8507385,0,0,3.43944263,125.980637,0,0,0,0,0,0.11844448,0.667972267,0.542874813,0,331.671265,629.210754,2.3302865
38.0137749,3.69760704,41.7959328,0,1.50208497,0,40.168808,73.3746338,0,10.3520527,0,0,22.5629025,5.6885457,2.52713871,4.40620804,89.4256668,0,0,0,0,0,0,6.22499228,27.1354256,0.968715131,487.201355,764.510925,9.10970497
3.293854,33.1436157,39.5763931,1.36026943,0,8.37102413,0.335677624,97.1632919,0,1.92184365,0,0,12.2632399,0,0,0,42.8921967,0,0,0,0,0,0,0,0,0.221553221,319.008362,564.612671,9.59321117
19.0471249,11.7966909,42.1088715,0.126118064,0.778963387,0,9.64251614,128.291946,3.27023506,11.9190321,0.743305266,0,36.3929253,1.05488932,0,1.24908829,115.295784,8.41510201,0,0,2.72149396,0,0.172302008,1.64534318,31.0613117,0,494.04895,926.665039,12.5732155
